2026-09-21 11:10:49 | WARD_A_HR_01 | 135 | CRITICAL
2026-09-21 11:10:49 | WARD_A_HR_02 | 142 | CRITICAL
2026-09-21 11:10:49 | WARD_A_HR_03 | 91 | WARNING
2026-09-21 11:10:49 | WARD_A_HR_04 | 146 | CRITICAL
2026-09-21 11:10:49 | WARD_A_HR_05 | 45 | CRITICAL
2026-09-21 11:10:50 | WARD_A_HR_01 | 147 | CRITICAL
2026-09-21 11:10:50 | WARD_A_HR_02 | 133 | CRITICAL
2026-09-21 11:10:50 | WARD_A_HR_03 | 113 | CRITICAL
2026-09-21 11:10:50 | WARD_A_HR_04 | 100 | WARNING
2026-09-21 11:10:50 | WARD_A_HR_05 | 143 | CRITICAL
2026-09-21 11:10:51 | WARD_A_HR_01 | 73 | NORMAL
2026-09-21 11:10:51 | WARD_A_HR_02 | 70 | NORMAL
2026-09-21 11:10:51 | WARD_A_HR_03 | 121 | CRITICAL
2026-09-21 11:10:51 | WARD_A_HR_04 | 68 | NORMAL
2026-09-21 11:10:51 | WARD_A_HR_05 | 52 | CRITICAL
2026-09-21 11:10:52 | WARD_A_HR_01 | 74 | NORMAL
2026-09-21 11:10:52 | WARD_A_HR_02 | 112 | CRITICAL
2026-09-21 11:10:52 | WARD_A_HR_03 | 104 | CRITICAL
2026-09-21 11:10:52 | WARD_A_HR_04 | 86 | NORMAL
2026-09-21 11:10:52 | WARD_A_HR_05 | 103 | CRITICAL
2026-09-21 11:10:53 | WARD_A_HR_01 | 65 | NORMAL
2026-09-21 11:10:53 | WARD_A_HR_02 | 121 | CRITICAL
2026-09-21 11:10:53 | WARD_A_HR_03 | 94 | WARNING
2026-09-21 11:10:53 | WARD_A_HR_04 | 53 | CRITICAL
2026-09-21 11:10:53 | WARD_A_HR_05 | 117 | CRITICAL
2026-09-21 11:10:54 | WARD_A_HR_01 | 101 | CRITICAL
2026-09-21 11:10:54 | WARD_A_HR_02 | 138 | CRITICAL
2026-09-21 11:10:54 | WARD_A_HR_03 | 143 | CRITICAL
2026-09-21 11:10:54 | WARD_A_HR_04 | 75 | NORMAL
2026-09-21 11:10:54 | WARD_A_HR_05 | 112 | CRITICAL
2026-09-21 11:10:55 | WARD_A_HR_01 | 139 | CRITICAL
2026-09-21 11:10:55 | WARD_A_HR_02 | 95 | WARNING
2026-09-21 11:10:55 | WARD_A_HR_03 | 45 | CRITICAL
2026-09-21 11:10:55 | WARD_A_HR_04 | 96 | WARNING
2026-09-21 11:10:55 | WARD_A_HR_05 | 46 | CRITICAL
2026-09-21 11:10:56 | WARD_A_HR_01 | 76 | NORMAL
2026-09-21 11:10:56 | WARD_A_HR_02 | 51 | CRITICAL
2026-09-21 11:10:56 | WARD_A_HR_03 | 136 | CRITICAL
2026-09-21 11:10:56 | WARD_A_HR_04 | 75 | NORMAL
2026-09-21 11:10:56 | WARD_A_HR_05 | 50 | CRITICAL
2026-09-21 11:10:57 | WARD_A_HR_01 | 118 | CRITICAL
2026-09-21 11:10:57 | WARD_A_HR_02 | 137 | CRITICAL
2026-09-21 11:10:57 | WARD_A_HR_03 | 132 | CRITICAL
2026-09-21 11:10:57 | WARD_A_HR_04 | 72 | NORMAL
2026-09-21 11:10:57 | WARD_A_HR_05 | 135 | CRITICAL
2026-09-21 11:10:58 | WARD_A_HR_01 | 127 | CRITICAL
2026-09-21 11:10:58 | WARD_A_HR_02 | 127 | CRITICAL
2026-09-21 11:10:58 | WARD_A_HR_03 | 90 | WARNING
2026-09-21 11:10:58 | WARD_A_HR_04 | 139 | CRITICAL
2026-09-21 11:10:58 | WARD_A_HR_05 | 83 | NORMAL
2026-09-21 11:10:59 | WARD_A_HR_01 | 63 | NORMAL
2026-09-21 11:10:59 | WARD_A_HR_02 | 130 | CRITICAL
2026-09-21 11:10:59 | WARD_A_HR_03 | 112 | CRITICAL
2026-09-21 11:10:59 | WARD_A_HR_04 | 52 | CRITICAL
2026-09-21 11:10:59 | WARD_A_HR_05 | 101 | CRITICAL
2026-09-21 11:11:00 | WARD_A_HR_01 | 81 | NORMAL
2026-09-21 11:11:00 | WARD_A_HR_02 | 80 | NORMAL
