2026-09-21 11:10:49 | WARD_B_TEMP_01 | 39.5 | CRITICAL
2026-09-21 11:10:49 | WARD_B_TEMP_02 | 39.9 | CRITICAL
2026-09-21 11:10:49 | WARD_B_TEMP_03 | 36.7 | NORMAL
2026-09-21 11:10:49 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-09-21 11:10:49 | WARD_B_TEMP_05 | 40.2 | CRITICAL
2026-09-21 11:10:50 | WARD_B_TEMP_01 | 37.1 | NORMAL
2026-09-21 11:10:50 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-09-21 11:10:50 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-09-21 11:10:50 | WARD_B_TEMP_04 | 38.7 | CRITICAL
2026-09-21 11:10:50 | WARD_B_TEMP_05 | 37.1 | NORMAL
2026-09-21 11:10:51 | WARD_B_TEMP_01 | 36.5 | NORMAL
2026-09-21 11:10:51 | WARD_B_TEMP_02 | 39.1 | CRITICAL
2026-09-21 11:10:51 | WARD_B_TEMP_03 | 40.1 | CRITICAL
2026-09-21 11:10:51 | WARD_B_TEMP_04 | 39.0 | CRITICAL
2026-09-21 11:10:51 | WARD_B_TEMP_05 | 38.7 | CRITICAL
2026-09-21 11:10:52 | WARD_B_TEMP_01 | 35.0 | CRITICAL
2026-09-21 11:10:52 | WARD_B_TEMP_02 | 39.6 | CRITICAL
2026-09-21 11:10:52 | WARD_B_TEMP_03 | 38.6 | CRITICAL
2026-09-21 11:10:52 | WARD_B_TEMP_04 | 40.0 | CRITICAL
2026-09-21 11:10:52 | WARD_B_TEMP_05 | 36.7 | NORMAL
2026-09-21 11:10:53 | WARD_B_TEMP_01 | 37.5 | WARNING
2026-09-21 11:10:53 | WARD_B_TEMP_02 | 39.5 | CRITICAL
2026-09-21 11:10:53 | WARD_B_TEMP_03 | 36.2 | NORMAL
2026-09-21 11:10:53 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-09-21 11:10:53 | WARD_B_TEMP_05 | 39.3 | CRITICAL
2026-09-21 11:10:54 | WARD_B_TEMP_01 | 38.8 | CRITICAL
2026-09-21 11:10:54 | WARD_B_TEMP_02 | 35.5 | NORMAL
2026-09-21 11:10:54 | WARD_B_TEMP_03 | 38.3 | CRITICAL
2026-09-21 11:10:54 | WARD_B_TEMP_04 | 36.5 | NORMAL
2026-09-21 11:10:54 | WARD_B_TEMP_05 | 40.0 | CRITICAL
2026-09-21 11:10:55 | WARD_B_TEMP_01 | 36.0 | NORMAL
2026-09-21 11:10:55 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-09-21 11:10:55 | WARD_B_TEMP_03 | 34.6 | CRITICAL
2026-09-21 11:10:55 | WARD_B_TEMP_04 | 39.0 | CRITICAL
