2026-09-21 11:10:49 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-09-21 11:10:49 | ICU_WATER_RESERVE | 44 | HIGH_USAGE
2026-09-21 11:10:50 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:10:50 | ICU_WATER_RESERVE | 10 | NORMAL
2026-09-21 11:10:51 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-09-21 11:10:51 | ICU_WATER_RESERVE | 20 | NORMAL
2026-09-21 11:10:52 | FACILITY_WATER_MAIN | 42 | HIGH_USAGE
2026-09-21 11:10:52 | ICU_WATER_RESERVE | 22 | NORMAL
2026-09-21 11:10:53 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-09-21 11:10:53 | ICU_WATER_RESERVE | 6 | NORMAL
2026-09-21 11:10:54 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-09-21 11:10:54 | ICU_WATER_RESERVE | 43 | HIGH_USAGE
2026-09-21 11:10:55 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:10:55 | ICU_WATER_RESERVE | 13 | NORMAL
2026-09-21 11:10:56 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-09-21 11:10:56 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:10:57 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-09-21 11:10:57 | ICU_WATER_RESERVE | 12 | NORMAL
2026-09-21 11:10:58 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-09-21 11:10:58 | ICU_WATER_RESERVE | 23 | NORMAL
2026-09-21 11:10:59 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-09-21 11:10:59 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-09-21 11:11:00 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-09-21 11:11:00 | ICU_WATER_RESERVE | 18 | NORMAL
2026-09-21 11:11:01 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-09-21 11:11:01 | ICU_WATER_RESERVE | 21 | NORMAL
2026-09-21 11:11:02 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-09-21 11:11:02 | ICU_WATER_RESERVE | 7 | NORMAL
2026-09-21 11:11:03 | FACILITY_WATER_MAIN | 20 | NORMAL
